episode,s_P1,s_P2,pP1_GA1,pP1_GA2,pP1_GA3,pP2_GA1,pP2_GA2,pP2_GA3,p_GA1,p_GA2,p_GA3
115,0.3342521960397149,0.665747803960285,0.8605732484093118,0.0512424590243514,0.0881842925663368,0.8607923705844402,0.0511919993676594,0.0880156300479004,0.8607191285162024,0.0512088656187201,0.0880720058650773
116,0.3324549130003973,0.6675450869996026,0.8606520282753912,0.0512438142867364,0.0881041574378724,0.8608662858319571,0.0511948788708192,0.0879388352972236,0.8607950548546293,0.0512111476902606,0.0879937974551101
117,0.3307884065697928,0.6692115934302071,0.8607323500440961,0.0512459098257106,0.0880217401301932,0.8609409225448246,0.0511987562635716,0.0878603211916038,0.8608719291796543,0.0512143541152556,0.08791371670509
118,0.325816307824575,0.674183692175425,0.8606327938527643,0.0512172294298609,0.0881499767173747,0.8608711150070928,0.0511595852392632,0.0879692997536438,0.860793466088513,0.0511783666566113,0.0880281672548756
119,0.3241802960250169,0.6758197039749831,0.8607111995463885,0.0512215690625285,0.088067231391083,0.860942648831125,0.0511663748943233,0.0878909762745516,0.8608676175334844,0.0511842677561109,0.0879481147104047
120,0.3226276098622769,0.6773723901377232,0.8607889888259919,0.0512259542824986,0.0879850568915095,0.8610133415248493,0.0511732175527323,0.0878134409224183,0.8609409591498507,0.0511902318778087,0.0878688089723404
121,0.3248125238808423,0.6751874761191576,0.860871587754839,0.0512313434165435,0.0878970688286175,0.8610875473064854,0.0511814520403904,0.0877310006531242,0.861017400939459,0.0511976573841986,0.0877849416763424
122,0.321288601593199,0.678711398406801,0.8608384176440348,0.0512166450366598,0.0879449373193053,0.8610688408695534,0.0511615776195025,0.087769581510944,0.8609948085136521,0.0511792701529543,0.0878259213333936
123,0.3194493070813549,0.6805506929186451,0.8608929787303042,0.0512184663602518,0.0878885549094438,0.8611196250845495,0.0511647036329899,0.0877156712824605,0.8610472230637334,0.0511818780989605,0.087770898837306
124,0.3178538560407996,0.6821461439592005,0.8609562968921494,0.051222054641459,0.0878216484663916,0.8611770935392995,0.0511702849192981,0.0876526215414024,0.8611069124736019,0.0511867401251131,0.0877063474012849
125,0.316278495786262,0.683721504213738,0.8610165228450875,0.0512252046943888,0.0877582724605236,0.8612318276827176,0.0511752497960042,0.087592922521278,0.8611637313925364,0.0511910494561224,0.0876452191513409
126,0.3143187001876142,0.6856812998123858,0.8610527544276119,0.0512242966778991,0.087722948894489,0.861267110819717,0.0511745225620757,0.0875583666182072,0.8611997345971737,0.0511901674974643,0.087610097905362
127,0.3125764129247153,0.6874235870752848,0.8610972836688966,0.0512252233698617,0.0876774929612417,0.8613086931675643,0.0511763315250394,0.0875149753073963,0.8612426115448124,0.0511916139625152,0.0875657744926722
128,0.3113330242427473,0.6886669757572528,0.8611644997311927,0.051230392836806,0.0876051074320011,0.8613681327168972,0.0511840591594465,0.0874478081236563,0.8613047350436223,0.0511984843633431,0.0874967805930346
129,0.3076385440760376,0.6923614559239625,0.8610958679628725,0.0512118543571601,0.0876922776799672,0.8613187376858592,0.0511586161309153,0.0875226461832255,0.8612501743687611,0.0511749942613264,0.0875748313699126
130,0.3065049047573589,0.6934950952426412,0.8611657230495819,0.0512188477458678,0.0876154292045503,0.8613794454111565,0.0511687865452431,0.0874517680436003,0.8613139384590774,0.0511841305487726,0.0875019309921497
131,0.3051114300447067,0.6948885699552934,0.8612178613402506,0.0512225515996929,0.0875595870600565,0.861425893661033,0.0511743683057636,0.0873997380332034,0.8613624206221435,0.0511890695794787,0.0874485097983778
132,0.3035216958652361,0.696478304134764,0.8612561476105565,0.0512238373737187,0.0875200150157249,0.8614611098264625,0.0511765671195658,0.0873623230539715,0.8613988993471023,0.0511909146672702,0.0874101859856272
133,0.3058045770792805,0.6941954229207196,0.8613148998001373,0.051228900960626,0.0874561992392367,0.8615124811464736,0.0511840428068807,0.0873034760466456,0.8614520598664185,0.0511977606356154,0.0873501794979661
134,0.3045287085790854,0.6954712914209147,0.861365314224914,0.0512324380886509,0.0874022476864349,0.8615570727352426,0.0511893855791406,0.0872535416856166,0.8614986767637334,0.0512024963042628,0.0872988269320038
135,0.301591549100116,0.6984084508998841,0.8613227673863753,0.0512196990381842,0.0874575335754404,0.8615271983477946,0.0511719490410768,0.0873008526111285,0.8614655436974561,0.051186350036674,0.0873481062658699
136,0.3001913419904398,0.6998086580095603,0.8613634021234692,0.0512225142406807,0.0874140836358501,0.8615633593191071,0.0511762032047205,0.0872604374761723,0.8615033339002078,0.0511901053767544,0.0873065607230376
137,0.2956885544929268,0.7043114455070731,0.8612268379751958,0.0511944538794376,0.0875787081453666,0.8614576701656232,0.051137295349614,0.0874050344847627,0.8613894157289054,0.0511541964726745,0.0874563877984202
